"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)"
20096315,5.872,,1.443,0.6432,6.65
20096536,,,2.299,0.7782,41.43
20096590,520,0.882,0.9079,0.3511,13.60
20096631,3.59,,1.699,0.2593,1.77
20096744,,,2.092,0.7799,34.94
20097725,,,1.798,0.3092,18.19
20098943,5.017,,1.032,0.2192,4.81
20099248,19.7,1.115,1.867,0.5076,10.61
20099799,,,1.462,0.2757,7.56
20099907,2.5246,1.4,0.7284,0.5948,28.80
20099935,5.532,,1.654,0.6450,12.77
20099942,30.56,0.34,0.9227,0.1914,3.34
20100004,3.1643,2.70,2.591,0.7022,15.70
20100085,12.906,,2.651,0.6194,2.64
20100756,6.369,1.809,2.265,0.5543,11.57
20100926,2.328,1.174,1.783,0.4077,24.24
20101869,,,1.624,0.6109,4.77
20101873,,,2.029,0.3933,45.79
20101955,4.296061,0.482,1.126,0.2037,6.03
20102873,2.40639,,2.132,0.4667,7.46
20103067,9.849,1.282,1.844,0.5815,38.54
20105140,6.9269,1.946,0.9143,0.8170,32.54
20105141,,0.352,1.421,0.1890,14.82
20106538,51.2,,2.421,0.7653,10.34
20106589,141.1,,2.146,0.6175,14.37
20108519,4.495,1.423,1.603,0.2710,16.39
20108906,,,1.235,0.3605,20.93
20111253,,3.006,1.754,0.4395,42.02
20112221,12.866,,2.269,0.4449,58.74
20112985,4.787,3.618,2.22,0.4927,46.99
20115052,12.08,,1.669,0.3181,31.32
20136564,,0.4,1.865,0.3946,2.99
20136582,,,1.342,0.0680,10.50
20136617,2.3886,,1.638,0.4169,4.68
20136618,13,,1.573,0.3950,1.44
20136635,41.995,,1.573,0.1752,7.64
20136745,,,2.367,0.4839,17.78
20136770,,,1.839,0.4516,25.10
20136773,,,1.585,0.1802,22.10
20136793,,,1.147,0.4654,17.37
20136795,17.71,,1.747,0.4789,10.99
20136818,,,0.9375,0.3463,12.78
20136839,,,1.485,0.3058,8.16
20136849,2.7653,,1.491,0.5787,7.79
20136874,28.55,3.398,2.202,0.8842,21.16
20136897,15.3,,1.363,0.1248,38.88
20136900,6.439,,1.748,0.6365,10.98
20136923,15.7,,2.135,0.4413,6.63
20136993,2.3017,,2.308,0.5956,24.49
20137032,2.925,1.055,1.596,0.7631,25.50
20137044,,,2.269,0.4286,4.38
20137052,9.007,,1.248,0.8095,14.91
20137062,2.58,1.265,1.225,0.3154,22.52
20137064,13.777,,1.374,0.1950,19.50
20137078,,,1.938,0.6383,23.16
20137084,5.419,1.228,1.212,0.4965,26.55
20137099,,0.564,1.1,0.4626,28.79
20137108,5.041,,1.459,0.5621,39.93
20137120,,,1.899,0.5503,8.99
20137125,,,1.427,0.1319,34.23
20137126,,,1.773,0.6000,5.55
20137158,6.074,,1.18,0.6070,12.90
20137170,2.3192,,0.8192,0.4625,25.66
20137175,,,1.262,0.3412,16.43
20137199,2.7697,,1.457,0.2927,16.57
20137427,,,2.44,0.6114,39.48
20137671,,,1.435,0.1842,21.10
20137799,9.39,,1.321,0.0748,6.79
20137802,,,1.776,0.3521,31.59
20137805,3.93,2.243,0.8294,0.5582,16.75
20137911,,,2.305,0.4940,3.76
20137924,10.57,0.970,0.8764,0.8949,25.74
20137925,48,1.372,1.292,0.7637,31.11
20138013,,3.518,1.598,0.6348,15.98
20138095,4.243,,1.776,0.4146,60.69
20138127,2.586,0.754,0.6618,0.5331,26.46
20138155,5.131,,1.808,0.3195,25.45
20138175,13.324,,1.004,0.2931,5.24
20138205,,,2.583,0.6126,11.19
20138258,,,0.7578,0.4768,32.14
20138325,6.122,,2.162,0.8051,25.75
20138359,3.685,1.085,1.142,0.3613,20.24
20138404,3.9077,,1.139,0.3185,2.16
20138524,2.6835,,2.357,0.5679,6.25
20138727,,,2.105,0.6048,11.91
20138815,,,2.089,0.3817,8.25
20138846,2.62,,2.183,0.5645,18.68
20138847,7.6,0.965,1.619,0.2876,22.18
20138852,4.4622,,1.001,0.2980,21.51
20138859,,,1.573,0.5321,13.16
20138877,8.71,,2.14,0.5429,25.32
20138883,10.592,1.222,1.536,0.3439,21.89
20138893,5.3,,1.173,0.7435,18.34
20138911,15.88,,1.35,0.0817,1.66
20138925,5.2561,,1.897,0.3765,72.15
20138937,15.06,,2.073,0.6780,31.81
20138947,,0.447,1.119,0.2537,12.84
20138971,3.303,,1.034,0.3333,7.92
20139047,,,1.862,0.3858,47.00
20139056,5.207,0.32,1.887,0.3273,4.73
20139211,,,1.861,0.4517,26.06
20139289,11.3,1.126,1.26,0.8413,23.26
