"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)"
3767167,,,1.077,0.2117,23.81
3767244,,,2.466,0.8503,24.63
3767243,8.45,,1.784,0.4928,6.61
3767242,,,2.107,0.4821,2.15
3767241,,,2.543,0.7757,6.66
3767248,,,2.116,0.6980,1.61
3767247,,,2.273,0.6791,8.20
3767249,,,2.148,0.5538,7.94
3767250,,,1.263,0.4680,19.83
3767246,,,2.287,0.4755,8.25
3767245,3.1299,,2.1,0.3928,6.25
3767254,,,2.017,0.3870,8.64
3767251,,,2.119,0.6312,3.17
3767253,,,1.596,0.2253,24.05
3767252,,,1.662,0.3774,5.14
3767257,,,1.893,0.4468,3.66
3767260,,,2.038,0.5840,2.42
3767262,,,1.387,0.6979,10.94
3767263,,,1.155,0.0855,8.66
3767261,,,1.192,0.2001,6.40
3767255,,,1.143,0.2388,11.29
3767259,,,1.313,0.2099,23.70
3767258,,,1.242,0.1852,13.18
3767256,,,2.048,0.5270,2.01
3767264,0.179,,0.9558,0.3375,8.82
3767312,,,1.361,0.1762,22.51
3767310,,,1.113,0.2385,7.35
3767313,,,1.981,0.3716,4.15
3767314,,,1.695,0.2932,4.93
3767315,,,1.105,0.1665,2.33
3769388,1,,2.374,0.4607,7.88
3767316,,,1.458,0.3262,12.57
3767318,,,1.1,0.3296,4.93
3767319,,,1.335,0.1436,5.47
3767317,,,3.218,0.6409,34.27
3767323,,,2.128,0.4733,40.82
3767320,,,2.335,0.5904,4.58
3767322,,,1.252,0.2578,0.35
3767324,,,1.096,0.2926,18.93
3767321,,,2.594,0.5307,22.89
3767325,,,1.357,0.6064,12.74
3767326,,,1.273,0.5074,22.39
3767609,,,1.283,0.1468,17.89
3767871,,,1.921,0.4826,1.07
3767927,,,1.967,0.6187,2.14
3767929,,,1.639,0.4734,0.97
3767925,,,1.044,0.0515,2.12
3767928,,,2.215,0.5012,19.97
3767930,,,1.267,0.0352,17.70
3767936,,,1.57,0.4225,38.64
3767926,,,4.144,0.7209,15.39
3767935,,,1.563,0.5107,11.77
3767931,,,2.39,0.7925,6.32
3767933,,,0.9812,0.4029,22.40
3767934,,,0.9648,0.1156,4.61
3767937,,,1.397,0.3708,2.59
3768016,0.82255,,1.3,0.5861,4.37
3768017,,,1.684,0.6382,30.82
3768018,,,1.278,0.4727,35.60
3768606,,,1.52,0.7140,11.68
3768607,,,2.001,0.4619,2.99
3768609,2.1503,,1.311,0.2970,7.87
3768613,,,0.891,0.3577,25.21
3769436,,,1.095,0.4978,27.78
3769438,,,0.9948,0.0525,27.61
54166170,,,2.439,0.4894,4.35
3767932,,,1.086,0.4783,28.94
3768022,,,1.38,0.2676,1.88
3768021,,,1.132,0.2139,4.94
3768024,,,1.466,0.6230,9.98
3768023,,,2.04,0.6438,6.13
3768019,40.34,,2.606,0.6112,6.91
3768025,,,1.522,0.3354,17.44
3768612,,,1.77,0.3527,6.48
3768608,,,2.324,0.5778,28.06
3768610,1.1,,1.932,0.7054,17.71
3768611,,,2.482,0.5651,5.81
3768614,,,2.571,0.7472,22.96
3768615,,,2.219,0.5336,2.98
3768619,,,2.305,0.6255,8.63
3768616,,,1.117,0.3811,0.90
3768617,,,1.417,0.2980,2.80
3768618,,,1.184,0.2147,7.84
3768620,,,1.084,0.1004,9.66
3768653,,,1.092,0.3334,10.48
3768654,,,1.411,0.2951,3.38
3768819,1,,2.271,0.4415,28.99
3768820,,,1.513,0.3277,14.26
3768843,,,1.881,0.4644,7.16
3769379,,,1.971,0.4974,11.16
3769378,,,1.922,0.4463,37.94
3769392,,,1.454,0.3692,6.73
3769393,3.575,,1.152,0.1817,1.19
3769396,,,1.416,0.2242,8.96
3769398,,,2.998,0.7489,16.42
3769399,,,2.747,0.6277,23.33
3769397,,,1.385,0.8332,27.61
3769400,1.7,,0.8414,0.2517,16.99
3769401,,,1.897,0.6231,6.46
3769402,14.91,,1.385,0.2283,11.39
3769468,,,2.125,0.6588,3.84
3769459,,,4.375,0.8185,5.72
3838791,,,1.466,0.1663,9.26
3769412,,,1.165,0.2570,6.95
3769408,,,2.147,0.8815,15.75
3769410,,,1.439,0.3135,9.13
3769411,,,1.12,0.2382,24.10
3769409,,,1.642,0.3948,0.81
3769703,,,2.823,0.7272,20.20
3769704,,,2.396,0.5169,32.12
3769709,,,1.69,0.6387,0.96
3769706,,,1.646,0.3794,2.95
3769708,,,1.316,0.0663,47.95
3769707,,,1.902,0.4704,6.48
3769710,,,1.919,0.3993,12.87
3769751,,,1.388,0.3159,3.40
3769749,,,1.301,0.3654,1.63
3769750,,,1.304,0.3861,0.56
3769804,,,2.068,0.3783,41.34
3769806,,,1.217,0.3217,4.34
3769805,,,1.345,0.2461,8.15
3769807,,,2.255,0.5017,7.00
3769808,,,1.095,0.5520,8.96
3769812,,,2.069,0.4929,8.21
3769811,,,1.043,0.0695,15.83
3769818,,,1.641,0.3794,22.56
3769809,,,1.305,0.3921,2.96
3769810,,,1.956,0.7082,7.34
3769813,,,1.559,0.4385,3.51
3769817,,,0.67,0.5299,6.11
3769815,,,1.456,0.1458,28.93
3769816,,,1.316,0.6526,7.49
3769814,,,1.642,0.3966,3.04
3769873,,,1.949,0.5612,13.55
3769875,,,1.82,0.6215,17.53
3769874,,,1.52,0.4869,11.97
3769877,,,1.04,0.1690,2.67
3769878,,,2.175,0.4753,10.15
3769879,,,1.979,0.6712,11.58
3769881,,,0.9296,0.1306,2.64
3769883,,,0.8411,0.5554,31.92
3769884,,,1.429,0.2835,8.35
3769880,,,1.645,0.4601,8.05
3769885,,,2.753,0.6370,4.85
3769886,,,1.217,0.2645,4.59
3769887,,,1.713,0.2555,7.92
3769888,7.1389,,0.9738,0.2745,5.71
3769882,,,1.954,0.5097,4.52
3769913,,,1.333,0.2910,4.69
3769914,,,2.191,0.7915,37.63
3769918,,,1.368,0.5024,13.11
3769915,,,2.108,0.5078,20.13
3769916,,,1.456,0.2646,27.18
3769917,,,1.212,0.1989,23.08
3769919,,,1.769,0.4827,7.70
3770143,,,2.068,0.5037,17.12
3770141,,,1.282,0.1234,26.85
3770142,,,0.9382,0.1371,7.14
3770140,14.305,,2.694,0.5459,19.94
3770139,,,1.648,0.3250,1.34
3770144,,,1.808,0.3642,8.74
3770145,,,2.427,0.6191,26.28
3770146,,,1.665,0.3606,17.54
3770147,,,2.051,0.4875,26.08
3770154,,,1.883,0.5614,4.06
3770148,,,1.897,0.4765,7.02
3770151,,,1.061,0.0968,10.59
3770153,,,1.823,0.4371,3.06
3770149,,,2.23,0.6478,1.28
3770150,,,1.636,0.4262,26.78
3770152,,,1.012,0.0468,16.51
3770155,,,2.449,0.8122,2.20
3770277,,,1.412,0.1159,21.19
3770275,,,1.698,0.4024,4.37
3770276,,,2.35,0.4963,3.55
3770278,,,3.043,0.6572,31.47
3770279,,,2.39,0.5151,3.59
3770284,,,1.176,0.1909,17.41
3770285,,,1.632,0.2997,21.52
3770283,,,2.234,0.4616,2.79
3770288,,,1.196,0.8270,7.09
3770286,,,2.383,0.5207,1.63
3770290,,,2.384,0.6165,3.03
3770320,,,1.007,0.2410,3.15
3770322,,,2.093,0.5655,3.89
3771595,,,2.414,0.5821,0.38
3771596,,,1.335,0.3608,6.41
3771597,,,2.056,0.6051,2.51
3771592,,,1.44,0.6263,29.50
3771593,,,1.984,0.4056,3.50
3770280,,,1.706,0.6003,1.37
3770287,,,1.914,0.4234,8.63
3770289,,,1.503,0.3318,4.41
3770321,,,2.797,0.6435,3.99
3770324,,,1.179,0.1152,16.22
3770323,,,1.723,0.5757,15.26
3770326,,,1.356,0.7726,18.71
3770325,0.0083,,2.134,0.5662,11.20
3770328,,,0.8529,0.2512,8.38
3770329,,,1.291,0.2547,7.67
3770330,,,1.333,0.5715,9.61
3770327,,,1.697,0.3854,14.06
3770348,,,1.176,0.1351,17.38
3770349,,,2.142,0.7534,8.23
3770351,,,1.368,0.3265,7.06
3770350,,,1.984,0.5435,5.25
3770986,,,1.813,0.4479,3.30
3770988,,,0.8824,0.4340,4.33
3770987,,,1.564,0.4395,0.29
3771012,,,2.396,0.5301,9.58
3771013,2.5704,,2.085,0.6947,6.91
3771011,,,2.452,0.6153,3.01
3771014,,,1.149,0.2655,1.42
3771010,,,2.53,0.5370,6.93
3771016,,,2.251,0.4795,62.18
3771015,,,2.011,0.6429,5.13
3771018,0.0138,,1.085,0.0731,19.73
3771020,0.71,,2.441,0.6163,4.69
3771022,,,1.039,0.1525,2.84
3771023,,,1.179,0.3039,4.25
3771019,,,0.9176,0.1693,6.12
3771021,0.105,,1.6,0.4058,7.14
3771024,,,1.644,0.6137,2.72
3771026,,,1.617,0.4078,5.60
3771027,,,1.919,0.4733,10.97
3771028,,,1.275,0.1629,12.40
3771025,2.,,1.124,0.1158,11.68
3771064,,,1.804,0.4323,26.14
3771065,0.00699,,1.393,0.4313,1.05
3771061,,,1.806,0.4423,9.87
3771062,,,2.298,0.6999,7.68
3771063,0.0624,,1.762,0.4226,6.70
3771066,,,1.945,0.4835,2.15
3771067,,,1.339,0.3833,9.43
3771068,,,1.924,0.6337,1.48
3771069,,,1.334,0.6946,17.49
3771451,,,2.267,0.4629,22.13
3771450,,,2.602,0.7052,19.76
3771452,,,1.898,0.4982,12.20
3771475,,,1.899,0.3253,17.80
3771479,,,1.969,0.9059,14.56
3771476,,,1.551,0.4652,23.90
3771477,,,2.602,0.5338,26.19
3771478,,,1.622,0.5562,9.00
3771599,,,1.187,0.4643,1.79
3771600,,,2.144,0.5290,4.89
3771602,,,1.827,0.7719,1.92
3771605,,,0.8756,0.3809,16.12
3771565,,,1.487,0.5860,4.63
3771564,0.0165,,1.56,0.4122,3.31
3771566,0.00428,,1.263,0.3378,4.33
3771582,,,1.705,0.3123,18.12
3771584,,,1.405,0.3226,13.86
3771583,,,2.138,0.5091,0.90
3771585,,,1.365,0.1786,50.65
3771590,,,1.063,0.2215,4.37
3771591,,,2.163,0.6952,0.88
3771587,,,1.201,0.1248,23.79
3771589,,,2.291,0.5590,6.20
3771588,,,1.531,0.5164,3.02
3771586,,,1.439,0.5008,2.27
3771606,,,2.063,0.6421,13.18
3771617,,,1.675,0.4152,2.81
3771608,,,0.8274,0.3012,36.73
3771612,,,1.928,0.5487,7.54
3771610,,,2.12,0.7402,5.11
3771611,,,2.645,0.6059,2.38
3771614,,,1.236,0.1479,39.41
3771619,,,2.427,0.6232,3.09
3771613,,,2.388,0.6195,1.41
3771609,,,0.933,0.2725,17.52
3771607,,,2.258,0.5845,3.17
3771615,,,1.927,0.5307,26.95
3771618,,,2.048,0.4343,8.44
3771616,,,2.008,0.4849,7.30
3771620,,,1.299,0.3298,9.41
3771621,,,1.466,0.5774,2.25
3771622,,,0.9515,0.0632,6.02
3771623,,,2.255,0.4333,12.37
3771630,,,1.285,0.3730,21.87
3771625,,,1.405,0.2038,5.94
3771629,,,1.499,0.3471,6.26
3771631,,,1.501,0.1636,16.61
3771627,9.68,,1.948,0.3542,6.67
3771626,,,1.962,0.5050,2.52
3771637,,,2.061,0.7479,10.56
3771628,,,0.9111,0.4095,16.27
3771632,,,1.389,0.2342,1.81
3771634,,,1.686,0.2372,24.66
3771633,,,1.008,0.2638,1.81
3771640,,,1.336,0.4223,11.20
3771641,,,1.047,0.1864,1.01
3771639,,,1.677,0.5390,6.97
3771635,,,2.015,0.5614,2.64
3771636,,,1.464,0.3392,10.75
3771644,,,1.145,0.1357,2.57
3771638,,,1.39,0.3611,3.86
3771645,,,1.196,0.6701,12.40
3771642,,,1.133,0.1184,0.96
3771643,,,1.637,0.4256,1.92
3771798,,,1.371,0.1806,26.82
3771788,,,2.804,0.6413,17.78
3771797,,,1.397,0.2517,9.04
3771792,,,1.878,0.3851,5.46
3771794,,,1.259,0.1691,7.66
3771793,,,2.696,0.7129,5.55
3771790,,,2.863,0.5928,2.92
3771795,,,2.791,0.5558,12.64
3771791,,,2.37,0.8434,2.11
3771796,,,2.671,0.5839,1.95
3771800,,,1.115,0.2630,9.65
3771799,,,0.96,0.1562,7.15
3772381,,,1.125,0.1321,2.33
3772386,,,1.152,0.3211,23.24
3772383,,,1.418,0.2950,4.83
3772384,,,3.203,0.5978,15.95
3772382,,,2.013,0.5189,4.41
3772387,,,1.606,0.2505,4.68
3772397,,,1.628,0.4092,11.70
3772395,,,1.171,0.2212,3.78
3772392,,,2.449,0.7074,6.91
3772391,,,1.255,0.1165,10.42
3772393,,,2.637,0.5291,36.96
3772390,,,2.245,0.5563,28.04
3772400,,,2.499,0.8244,2.72
3772388,,,1.937,0.4973,7.65
3772394,,,1.127,0.0610,12.54
3772399,,,1.314,0.2176,25.79
3772389,,,1.86,0.7868,7.06
3772398,,,1.503,0.2522,10.01
3772396,,,1.335,0.3583,22.92
3772401,,,1.433,0.5170,37.88
3772692,,,2.026,0.7824,25.80
3772699,,,1.758,0.3824,13.03
3772698,,,1.663,0.3315,33.19
3772696,,,1.703,0.4413,30.79
3772694,,,2.456,0.6054,3.46
3772695,,,2.493,0.8438,14.88
3772700,,,1.505,0.5195,12.63
3772697,,,2.842,0.6826,11.17
3772701,,,2.442,0.5253,1.30
3772754,,,2.041,0.3637,8.98
3772758,,,2.359,0.8294,25.98
3772757,,,1.156,0.3197,6.84
3772755,,,1.125,0.2230,12.62
3772756,,,0.7731,0.6494,2.34
3772760,,,2.331,0.6298,5.56
3772759,,,1.033,0.1459,3.17
3772761,,,2.035,0.5465,9.49
3772762,,,1.833,0.4394,11.50
3772839,,,2.535,0.7246,12.67
3772838,,,1.696,0.2557,13.92
3772841,,,1.451,0.3939,34.38
3772845,,,1.905,0.4663,4.40
3772842,,,1.213,0.1161,13.48
3772840,,,1.394,0.2742,5.20
3772843,,,1.17,0.4124,10.19
3772844,,,0.9071,0.3238,0.23
3772846,,,0.9042,0.2818,2.52
3772977,,,2.442,0.5772,1.44
3772979,,,1.737,0.3165,35.84
3772978,,,1.474,0.4059,53.57
3772976,,,1.297,0.1203,12.21
3772994,,,2.044,0.4831,7.99
3772980,0.3468,,1.786,0.4595,9.25
3772974,,,1.039,0.3333,7.10
3772975,,,1.605,0.3053,11.38
3772981,,,2.809,0.7935,4.86
3772983,,,1.465,0.3722,1.38
3772985,,,1.997,0.5050,4.67
3772984,,,1.618,0.4391,1.77
3772982,,,1.086,0.1277,6.62
3772987,,,1.925,0.4476,5.72
3772986,,,2.232,0.5321,9.31
3772992,,,2.307,0.5334,0.26
3772996,,,0.9717,0.2880,21.75
3772990,,,1.638,0.3933,3.05
3772991,,,1.11,0.2407,27.19
3772988,,,1.457,0.2940,14.72
3772995,,,0.939,0.3482,3.50
3772993,,,0.9863,0.3459,2.50
3772989,,,1.687,0.3058,23.11
3772997,,,1.926,0.5755,0.33
3772998,,,2.017,0.5214,5.65
3773050,,,1.123,0.1748,37.94
3773055,,,1.633,0.7199,20.11
3773053,,,1.291,0.8145,29.16
3773054,,,1.189,0.3423,9.58
3773048,,,1.636,0.3295,5.30
3773049,,,2.056,0.4592,2.34
3773052,,,1.946,0.5344,5.33
3773051,,,1.512,0.4296,7.36
3773056,,,2.072,0.5118,1.49
3773057,,,1.038,0.0589,1.52
3773058,,,1.288,0.2870,3.00
3773595,,,2.512,0.6061,22.45
3773593,,,0.9712,0.1585,11.71
3773594,,,0.9373,0.2825,9.56
3773596,,,1.127,0.2192,4.75
3773598,,,1.181,0.2024,2.58
3773597,,,1.141,0.3504,17.66
3773648,,,1.567,0.4097,24.06
3773651,,,2.158,0.5739,6.69
3773647,,,1.449,0.2685,30.48
3773650,,,0.8742,0.3839,10.87
3773652,,,1.552,0.5082,1.81
3773649,,,2.023,0.4615,5.20
3773653,,,0.911,0.3174,17.90
3773654,,,2.343,0.5683,3.66
3773658,,,1.846,0.5521,61.06
3773657,,,1.739,0.5194,17.13
3773660,,,2.188,0.5465,7.07
3773659,,,2.39,0.5354,10.60
3773656,,,2.657,0.6014,0.77
3773655,,,1.501,0.7317,3.65
3773661,,,2.067,0.5828,4.04
3773663,,,2.126,0.5109,6.40
3773662,,,1.095,0.4019,5.41
3773664,,,1.317,0.2730,0.61
3773744,,,1.206,0.1721,1.11
3773746,,,1.658,0.3574,16.42
3773749,,,1.13,0.3967,8.30
3773751,,,1.724,0.4413,5.23
3773927,,,3.723,0.6801,23.83
3774033,,,2.355,0.6639,0.08
3774034,,,1.777,0.4691,5.17
3774032,,,1.397,0.3215,0.65
54137507,,,2.476,0.4808,2.93
3773672,,,3.282,0.7522,0.23
3773747,,,1.662,0.6846,22.01
3773750,,,1.928,0.5813,0.91
3773748,,,1.29,0.2955,1.58
3773752,0.301,,1.32,0.3858,16.36
3773753,,,1.924,0.4632,5.59
3773760,2.878,,1.703,0.5990,4.23
3773754,,,2.171,0.5378,19.62
3773755,,,0.9601,0.1828,6.86
3773757,,,1.924,0.5540,2.84
3773756,,,1.704,0.3211,6.15
3773761,,,1.72,0.5731,17.15
3773758,,,1.934,0.5034,3.69
3773762,,,0.9586,0.1285,24.13
3773763,,,1.478,0.5970,7.01
3773830,,,1.449,0.3196,28.49
3773831,,,1.46,0.2613,11.76
3773832,,,2.356,0.7624,3.55
3773839,,,0.7693,0.3656,4.13
3773833,,,1.571,0.2196,14.50
3773834,,,1.249,0.7541,37.71
3773835,,,1.479,0.2290,3.85
3773836,,,1.572,0.3348,8.97
3773837,,,0.9619,0.2289,21.70
3773838,,,2.619,0.6771,3.62
3773925,,,1.432,0.3414,14.93
3773912,,,1.593,0.4172,6.49
3773913,,,1.029,0.0455,7.25
3773924,,,1.673,0.3991,2.12
3773914,,,2.599,0.5852,25.62
3773915,,,2.658,0.6529,14.28
3773916,8.557,,2.243,0.5304,24.89
3773917,,,1.519,0.3207,7.69
3773918,,,1.075,0.0609,14.98
3773919,,,2.092,0.5193,6.98
3773920,,,2.115,0.4228,9.54
3773921,,,1.045,0.1871,28.14
3773922,,,1.077,0.2997,19.79
3773923,,,0.953,0.0645,10.48
3773928,,,2.28,0.5373,13.59
3773929,,,1.142,0.3035,3.60
3773930,,,2.28,0.5636,30.97
3773931,,,2.662,0.5337,15.80
3773983,,,1.102,0.3199,27.85
3773991,,,1.507,0.7024,9.40
3774039,,,1.877,0.5341,5.54
3773987,,,1.525,0.4556,2.51
3773985,,,1.181,0.3439,2.75
3773988,,,1.257,0.2807,4.42
3773990,,,1.231,0.4210,3.86
3773989,,,2.702,0.6731,11.92
3773986,,,1.293,0.5054,1.21
3774003,,,2.288,0.5964,6.94
3774002,,,2.203,0.7528,16.52
3774001,,,1.845,0.4514,54.90
3774005,,,1.265,0.1897,23.74
3774004,,,2.62,0.6091,9.73
3774006,,,0.782,0.4650,11.02
3774008,,,1.395,0.3232,1.63
3774007,,,0.8915,0.2188,8.65
3774009,,,1.407,0.2233,18.50
3774010,,,1.305,0.2851,3.87
3774011,,,2.371,0.8026,33.09
3774018,,,0.9773,0.6407,13.22
3774014,,,0.7973,0.2964,7.24
3774019,,,1.949,0.6477,5.54
3774017,,,2.126,0.5341,19.34
3774012,,,0.909,0.1471,1.51
3774015,,,1.262,0.2818,8.92
3774051,,,1.666,0.3409,8.35
3774052,,,1.602,0.3569,14.07
3774054,,,1.802,0.5059,7.28
3774053,,,1.201,0.1474,13.83
3774065,,,2.285,0.5630,14.37
3774066,,,0.8686,0.1639,6.24
3774067,,,1.416,0.3360,10.21
3774064,,,1.794,0.4585,5.33
3774092,,,2.104,0.5265,6.72
3774090,,,2.092,0.5998,6.16
3774091,,,1.454,0.4159,23.75
3774095,,,1.1,0.0807,14.95
3774098,,,1.361,0.2012,19.86
3774096,,,1.058,0.1389,10.23
3774097,,,1.591,0.2784,34.53
3774094,,,1.903,0.4836,6.82
3774093,0.0881,,1.186,0.1472,7.49
3774099,,,1.222,0.3623,12.32
3774101,,,2.322,0.6003,22.10
3774113,,,2.893,0.9428,41.07
3774112,,,2.211,0.5257,19.29
3774114,,,0.8655,0.1841,3.00
3774135,,,2.191,0.4204,5.61
3774131,,,1.503,0.2951,1.32
3774137,,,0.9779,0.3623,18.59
3774136,,,1.775,0.5027,5.43
3774132,,,1.351,0.2219,9.40
3774134,,,0.9102,0.2168,1.79
3774133,,,0.8575,0.2140,1.72
3774368,,,2.987,0.5806,5.09
3774370,,,2.801,0.6698,14.41
3774360,,,1.348,0.2976,6.08
3774364,,,2.404,0.4662,8.83
3774362,,,0.8472,0.4496,29.94
3774366,,,2.148,0.3979,25.01
3774363,,,1.18,0.1277,8.02
3774365,,,2.191,0.6252,6.00
3774367,,,1.778,0.5589,0.62
3774372,,,1.658,0.4215,22.92
3774371,,,1.354,0.4303,6.47
3774369,,,2.011,0.3831,2.14
3774373,,,2.413,0.4775,2.76
3774380,,,1.63,0.3224,8.24
3774378,,,2.124,0.4884,7.85
3774379,,,2.641,0.6040,6.28
3774377,,,1.692,0.4360,6.12
3774376,,,1.329,0.3273,9.40
3774383,,,2.339,0.4700,8.10
3774381,,,1.491,0.2846,8.45
3774382,,,1.044,0.0769,17.47
3774384,0.62,,0.9714,0.0551,2.62
3774434,,,2.843,0.6311,8.33
3774435,,,1.317,0.6172,35.76
3774436,,,1.205,0.1958,3.94
3774557,,,2.638,0.6564,18.77
3775117,,,1.826,0.5666,0.78
3775118,,,1.816,0.3881,6.28
3774375,,,2.032,0.6155,1.98
3774433,,,1.577,0.2982,3.15
3774560,,,1.148,0.3447,5.77
3774558,,,1.434,0.3796,6.11
3774564,,,0.9588,0.2663,11.16
3774565,,,2.213,0.6535,7.13
3774559,,,1.489,0.2874,2.57
3774561,,,1.747,0.4634,10.78
3774563,,,1.783,0.4271,35.76
3774567,,,2.173,0.5332,5.39
3774562,,,1.91,0.4593,9.85
3774568,,,1.5,0.4285,11.38
3774566,3.88,,1.201,0.2898,9.53
3774578,,,1.021,0.0512,5.23
3774574,,,0.6915,0.6265,12.16
3774573,,,2.025,0.8549,16.79
3774571,,,1.132,0.3953,21.87
3774576,0.0188,,1.202,0.2991,23.17
3774575,,,1.832,0.5001,6.80
3774577,,,2.088,0.5153,9.42
3774572,,,2,0.5955,2.51
3774603,,,1.162,0.7839,42.72
3774602,,,2.228,0.4767,9.72
3774604,,,1.399,0.2089,22.53
3774605,,,2.63,0.6340,11.55
3774610,,,1.652,0.7821,8.49
3774613,,,2.364,0.6191,14.04
3774614,,,1.075,0.4630,6.98
3774612,,,0.9064,0.3492,5.82
3774611,,,2.468,0.6659,1.58
3774615,,,1.142,0.0923,27.33
3774621,,,1.711,0.3682,16.10
3775120,,,1.713,0.4626,8.98
3774691,,,0.8923,0.3104,31.68
3774681,,,2.067,0.6988,6.59
3774688,,,1.079,0.2039,18.96
3774685,,,1.46,0.6498,7.80
3774686,,,1.029,0.3345,8.79
3774684,,,2.387,0.4610,6.81
3774687,,,2.232,0.5656,7.11
3774689,,,0.977,0.3628,19.07
3774683,,,1.379,0.4229,31.73
3774692,,,1.767,0.4819,10.25
3774682,,,1.938,0.5328,5.58
3774690,,,2.628,0.5351,10.13
3774722,,,1.709,0.4030,8.51
3774719,,,2.731,0.5315,14.49
3774723,,,2.575,0.7538,14.20
3774724,,,1.375,0.1974,2.91
3774726,,,1.793,0.4692,31.73
3774731,,,2.266,0.5597,2.12
3774729,,,1.988,0.7659,46.81
3774725,,,1.059,0.2559,4.96
3774720,,,1.82,0.4883,3.36
3774732,,,2.336,0.6152,6.19
3774721,,,1.153,0.3454,1.44
3774727,,,1.074,0.0663,17.53
3774728,,,1.537,0.7967,25.23
3774730,,,0.8817,0.2261,6.62
3774733,,,0.886,0.3671,50.06
3774736,,,2.163,0.5159,9.88
3774734,,,1.229,0.4809,27.09
3774735,,,2.274,0.7085,36.87
3774738,,,1.771,0.5481,7.85
3774737,,,1.328,0.2229,2.19
3775046,0.036,,1.989,0.6052,7.30
3775040,,,1.493,0.3339,1.95
3775039,,,2.275,0.5486,6.28
3775042,,,1.368,0.5130,2.88
3775041,,,1.178,0.3570,27.76
3775043,,,1.7,0.4092,27.23
3775044,,,0.9675,0.1656,1.24
3775038,,,2.334,0.5892,4.77
3775045,,,2.337,0.6142,5.31
3775094,,,2.963,0.6380,10.29
3775091,,,1.761,0.2636,25.15
3775093,,,0.8534,0.2785,12.60
3775092,,,1.498,0.2948,6.80
3775096,,,0.9466,0.1132,32.64
3775098,,,1.842,0.3093,28.71
3775097,,,2.129,0.4592,6.21
3775095,,,1.393,0.3921,5.91
3775115,,,0.9063,0.1344,2.18
3775116,,,2.787,0.6550,1.68
3775114,,,2.061,0.6331,4.16
3775155,,,1.611,0.7419,53.27
3775159,,,1.336,0.6237,32.13
3775161,,,1.395,0.8382,30.07
3775158,,,1.783,0.8479,69.05
3775152,,,2.275,0.4674,6.46
3775157,,,1.403,0.2267,2.93
3775154,,,2.148,0.4928,8.50
3775153,,,1.021,0.1560,5.22
3775160,,,2.628,0.6518,5.83
3775178,,,2.113,0.4663,7.13
3775199,,,1.824,0.3408,20.29
3775708,,,2.085,0.5737,6.04
3775156,,,1.099,0.2400,41.70
3775177,,,2.448,0.6255,12.22
3775176,0.066,,1.395,0.2778,0.07
3775175,0.0281,,1.698,0.3994,12.10
3775182,,,1.012,0.1550,12.42
3775183,,,2.021,0.4860,1.83
3775198,,,2.322,0.7483,7.24
3775205,,,2.632,0.6014,9.94
3775204,,,1.779,0.4849,4.43
3775203,,,1.33,0.2093,4.24
3775206,,,2.577,0.7365,1.14
3775208,,,0.8956,0.1883,11.37
3775209,,,1.559,0.4586,2.46
3775210,,,1.614,0.3337,12.21
3775247,,,1.093,0.2127,16.03
3775207,,,2.319,0.5758,14.00
3775249,,,2.815,0.6013,10.93
3775248,,,2.445,0.6393,17.13
3775251,,,1.322,0.4124,10.07
3775252,,,2.02,0.6892,41.34
3775253,,,1.573,0.3683,1.37
3775265,,,1.05,0.1305,65.00
3775264,,,1.535,0.3180,32.25
3775267,,,1.257,0.3155,6.75
3775266,,,2.124,0.5082,9.73
3775268,,,1.764,0.3773,11.23
3775710,,,1.503,0.5218,6.26
3775709,,,2.514,0.8993,15.11
3775711,6.69,,2.375,0.7523,8.50
3775714,33,,2.736,0.6542,0.89
3775715,,,1.94,0.5782,0.07
3775713,,,2.053,0.4937,5.55
3775712,,,2.234,0.4732,7.16
3776010,,,2.328,0.5501,7.52
3776009,,,1.812,0.2892,33.59
3776008,,,2.181,0.4262,8.97
3776012,,,2.287,0.4534,5.06
3776011,,,0.8973,0.3083,11.66
3776015,,,2.347,0.5768,4.00
3776017,,,1.452,0.3271,3.58
3776013,,,1.534,0.4942,4.61
3776016,,,2.231,0.4398,5.94
3776014,,,1.912,0.4608,2.71
3776032,,,1.761,0.4734,6.27
3776033,,,2.308,0.4917,19.79
3776069,,,1.153,0.3578,24.58
3776071,,,2.061,0.7016,31.97
3776070,,,2.044,0.4177,5.17
3776074,,,1.138,0.6557,7.07
3776072,,,2.303,0.4663,23.21
3776076,,,1.686,0.4051,4.01
3776073,,,1.435,0.1859,3.78
3776075,,,3.184,0.6475,20.52
3776078,,,2.151,0.4199,5.85
3776079,,,1.174,0.2255,30.34
3776081,,,1.395,0.2228,13.13
3776080,,,1.388,0.1049,14.54
3776085,,,0.9656,0.2310,5.91
3776084,,,1.637,0.4173,1.81
3776083,,,2.225,0.4976,9.19
3776111,,,2.147,0.4299,8.76
3776112,,,1.063,0.4055,29.97
3776113,,,1.708,0.3773,18.63
3776108,,,2.067,0.5486,7.21
3776114,,,1.758,0.3308,30.42
3776109,,,2.417,0.7314,14.02
3776110,,,1.75,0.3156,37.88
3776115,,,2.806,0.5700,17.92
3776116,,,2.144,0.4765,9.35
3776128,,,2.064,0.9611,23.18
3776117,,,2.438,0.6154,11.34
3776126,,,2.288,0.4694,5.16
3776120,,,2.336,0.5557,6.92
3776122,,,2.4,0.6020,7.68
3776119,,,1.742,0.6368,7.25
