"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)","H(mag)"
20265196,6.479,0.361,1.455,0.3785,15.21,18.84
20265482,2.6534,,1.129,0.3278,6.17,21.21
20265661,,,1.896,0.7381,27.68,16.68
20265962,7.834,,1.829,0.3360,4.35,19.02
20267131,,,2.41,0.6571,15.64,18.21
20267136,,,1.148,0.4178,10.82,18.92
20267221,,0.562,1.04,0.6599,1.64,19.85
20267223,4.11,,1.842,0.9011,12.78,18.18
20267270,,,2.634,0.5164,8.16,18.27
20267337,39.05,0.439,1.269,0.5140,19.43,18.07
20267494,2.4261,,2.719,0.7846,46.75,16.18
20267720,,,1.379,0.7197,21.15,18.98
20267729,129.5,,1.917,0.6086,5.83,18.46
20267759,,,1.374,0.1843,21.21,18.92
20267940,2.419,,1.105,0.5239,14.14,20.39
20269690,,0.888,2.001,0.6033,3.58,18.47
20271480,77.1,0.709,1.261,0.4419,24.75,17.69
20274138,2.852,0.747,1.324,0.5690,12.83,17.82
20274855,,,1.639,0.3009,9.54,18.55
20275545,,,1.514,0.2208,32.43,18.20
20275558,,,1.551,0.1708,11.02,19.07
20275611,15.109,1.483,1.533,0.1817,8.23,18.15
20275677,4.444,,1.28,0.3205,17.10,19.23
20275714,4.438,,1.49,0.4587,17.97,18.82
20275792,,,1.527,0.2220,30.59,18.41
20275974,26.1,0.626,2.045,0.7960,11.31,18.68
20275975,,,1.479,0.4638,22.03,19.47
20275976,6.41,2.381,2.205,0.5854,22.36,16.29
20276033,3.9333,,1.37,0.9150,15.45,18.80
20276049,3.2931,3.5,2.234,0.5610,47.29,16.68
20276111,,,1.865,0.3492,17.32,18.66
20276392,,,1.608,0.2706,14.52,19.49
20276397,2.433,,2.264,0.4804,4.45,17.20
20276409,,,1.243,0.5873,50.26,18.62
20276468,,1.034,1.978,0.3456,35.88,18.09
20276660,,,1.785,0.2885,29.79,18.41
20276703,,0.521,1.26,0.7499,9.81,19.32
20276732,,,1.471,0.7809,40.83,17.75
20276770,,,0.7891,0.5987,28.99,19.96
20276786,5.0177,1.720,1.72,0.3302,10.12,17.83
20276891,,,1.295,0.3814,26.11,19.51
20277039,16.2,0.676,1.648,0.5860,15.88,18.56
20277127,,,1.641,0.2333,2.88,18.76
20277142,4.63,,1.755,0.8273,26.57,16.79
20277279,,,1.618,0.3676,20.21,18.96
20277473,,,2.2,0.4418,43.08,16.94
20277475,2.595,,1.011,0.2374,9.84,20.22
20277570,3.689,0.439,1.372,0.6172,4.11,19.34
20277616,5.45,1.236,2.566,0.6982,18.63,17.41
20277617,,0.666,1.522,0.6329,16.16,18.36
20277810,,,1.001,0.3775,7.10,21.73
20277830,,,0.9855,0.2638,9.54,20.71
20277958,,,2.049,0.7368,13.05,16.85
20278327,,,2.514,0.7255,54.48,15.44
20278381,,,1.023,0.2589,5.83,21.92
20279744,,,1.671,0.6111,4.66,19.91
20279816,,,1.238,0.4006,50.74,19.27
20280136,,,1.496,0.5632,55.31,17.21
20280244,,,2.126,0.4405,5.39,18.22
20280491,,,1.105,0.4839,24.08,19.02
20281070,,,1.807,0.5743,35.63,18.75
20281365,,,1.631,0.6632,18.71,17.53
20281375,3.5,,0.9856,0.2485,7.23,20.81
20283457,,,2.234,0.4550,5.57,19.10
20283460,59,,2.235,0.4586,5.96,18.47
20283729,5.937,,1.474,0.1634,20.20,18.12
20284114,,,2.126,0.4288,10.84,17.95
20284422,,,2.623,0.6937,7.74,17.42
20285110,,,2.611,0.5875,25.83,17.16
20285179,,,1.228,0.5356,13.93,19.39
20285263,4.749,,2.422,0.5723,12.87,17.28
20285331,4.42,0.654,1.736,0.4557,20.17,18.24
20285339,,0.614,1.367,0.6753,20.32,18.07
20285540,24,,2.104,0.7269,8.49,18.64
20285567,,,1.701,0.6409,13.58,18.45
20285571,3.744,,1.904,0.4316,13.47,18.60
20285625,0.065,,1.963,0.3472,6.93,17.91
20285638,,,1.3,0.5404,36.96,17.64
20285818,,,1.988,0.4215,8.83,18.86
20285838,,,1.883,0.3598,33.82,17.98
20285944,2.2455,1.044,2.192,0.5065,53.08,16.70
20285990,5.78,,1.786,0.7890,25.96,17.95
20286079,,,0.9112,0.5261,31.33,19.29
20286080,,,1.047,0.4825,2.80,21.24
20288592,,,0.9529,0.5615,14.73,20.87
20288807,,,1.49,0.3765,36.78,18.46
20288914,,,1.764,0.3274,15.28,19.16
20289227,,,0.6402,0.7967,23.78,18.81
20289315,,,2.319,0.6381,4.92,18.53
20290772,,,2.084,0.5939,4.48,17.47
20292165,,,1.203,0.5806,30.26,18.18
20292220,,,1.412,0.3121,2.52,19.50
20293054,5.985,,2.531,0.7675,6.08,18.46
20293726,,,1.578,0.3690,2.01,22.64
20294739,3.05785,0.740,1.566,0.4081,36.01,17.08
20296318,,,1.659,0.5245,47.36,18.27
20297274,4.645,1.199,2.445,0.7904,1.97,16.93
20297300,15,0.320,1.273,0.4144,16.08,19.29
20297418,6.314,0.407,0.8115,0.4669,10.34,18.52
20299582,,0.622,1.29,0.4658,25.84,18.18
20301011,,,1.509,0.5453,5.36,18.39
20301844,,0.4,1.642,0.5261,0.93,19.71
20302010,,,1.688,0.4892,56.38,18.79
20302156,,,1.268,0.6453,29.50,18.99
20302169,,,0.7968,0.7775,25.39,19.89
20302311,4.126,,1.148,0.3023,11.28,19.39
20302523,,,2.68,0.5837,10.23,17.62
20302591,,,1.47,0.1812,12.11,19.73
20302800,,,1.728,0.2800,23.50,19.68
20302830,,,1.473,0.4421,16.97,18.81
20302831,13.97,,1.389,0.5405,25.80,19.12
20302871,,,1.877,0.3948,1.61,19.43
20303174,2.523,1.504,2.255,0.4464,21.38,16.63
20303248,,0.817,1.769,0.5740,28.53,18.08
20303250,,,0.904,0.6570,15.91,17.94
20303262,,,1.095,0.3106,13.23,18.66
20303449,,,2.017,0.6259,6.58,18.28
20303450,,0.187,1.269,0.3306,7.29,20.55
20303933,,,1.126,0.4888,19.13,19.07
20304088,,,1.643,0.2506,21.23,19.21
20304153,,2.054,1.755,0.3494,33.70,17.82
20304293,,,1.172,0.3390,36.06,18.77
20304330,,0.780,1.412,0.3102,21.04,18.89
20304640,,,1.418,0.5043,9.41,19.16
20305090,2.69,,2.637,0.5140,26.61,16.23
20306367,,,2.537,0.7409,3.77,15.65
20306383,0.94345,,0.8758,0.5514,2.07,21.49
20306431,,,2.483,0.5318,29.12,17.55
20306462,37.6,0.476,1.839,0.4317,30.96,18.63
20306523,,,2.364,0.5141,18.71,18.30
20306595,,,1.79,0.3563,28.49,18.73
20307005,,,2.891,0.7525,39.21,18.14
20307070,,0.282,1.309,0.2492,14.98,20.64
20307161,,,1.492,0.2743,24.17,18.36
20307493,,1.666,2.079,0.5861,23.12,18.60
20307564,,,1.371,0.1315,3.62,20.84
20307918,,0.374,0.8804,0.5053,28.59,19.01
20308041,,,1.428,0.4359,14.05,19.00
20308043,,,1.25,0.8289,14.29,18.56
20308127,,,2.325,0.4665,28.16,17.51
20308242,11,,0.7532,0.3400,24.93,16.35
20308635,18,0.4,1.157,0.4305,0.34,21.91
20308899,,,1.8,0.3740,16.55,18.40
20309203,,,2.65,0.5605,5.30,17.76
20309214,,,0.9807,0.1741,10.05,20.51
20309662,,,0.9813,0.2118,16.16,19.87
20309728,,,1.907,0.3928,19.80,18.13
20310402,,,1.669,0.2819,31.00,18.64
20310442,6.0542,,0.8627,0.4232,3.26,19.92
20310560,2.97387,0.654,1.049,0.4990,26.61,17.80
20310737,,,2.286,0.4892,5.68,17.93
20310842,5.3257,,0.8769,0.3842,7.40,19.83
20311044,,,1.907,0.6223,55.86,17.11
20311066,2.5709,,1.634,0.3996,19.45,18.27
20311321,,0.583,1.827,0.2965,34.70,18.61
20311554,9.15,0.382,0.82,0.4222,24.38,18.74
20311555,,,1.631,0.6142,15.76,18.35
20311925,,,1.433,0.2156,4.10,19.75
20312070,,0.595,0.9539,0.5095,22.63,19.42
20312473,3.463,,1.994,0.4569,11.85,18.38
20312942,8.444,,2.263,0.7767,9.07,17.35
20312956,,,1.405,0.5409,6.62,19.49
20313276,131.,,0.8799,0.5417,33.00,19.86
20313538,,,1.687,0.5516,14.02,18.52
20313548,,,1.712,0.3197,22.46,19.35
20313552,,,1.182,0.4227,7.92,20.99
20313809,,,1.195,0.5002,30.45,19.32
20314079,,,1.257,0.3109,23.87,19.65
20314082,,,2.238,0.5749,16.14,17.50
20314212,,,2.133,0.6509,6.46,18.57
20315020,,,1.844,0.3206,7.89,18.76
20315098,2.447,0.993,0.8716,0.4175,18.70,16.75
20315508,,0.836,1.602,0.3205,30.02,20.14
20316695,,,1.793,0.3264,21.64,18.86
20317212,,,1.835,0.3443,12.23,18.96
20317255,2.6093,,1.401,0.5677,6.43,19.87
20317643,,,1.184,0.4397,14.64,18.37
20317685,,,1.715,0.3126,22.70,18.21
20318050,,,1.923,0.3389,10.93,18.87
20318160,7.43,,2.261,0.4932,0.97,18.13
20318411,9.65,,2.315,0.6078,12.82,17.11
20318450,,,1.445,0.1542,12.46,20.12
20319988,,,1.396,0.5503,5.18,19.43
20320378,,,1.56,0.2837,1.31,21.32
20322652,2.386,,2.65,0.5743,24.35,16.97
20322705,,,2.524,0.6904,12.72,19.30
20322756,4.166,,0.7247,0.3827,8.13,19.17
20322763,,1.252,2.007,0.5361,22.83,17.21
20322775,,1.632,2.388,0.5285,11.45,17.24
20322913,,,2.3,0.4621,44.99,16.95
20322966,,,2.902,0.5769,37.03,17.02
20323179,,1.170,1.748,0.6871,8.28,18.12
20323300,,,1.169,0.3183,10.08,19.64
20325102,,0.361,0.6262,0.6268,5.11,20.17
20325395,,,0.9327,0.0915,18.68,17.44
20325769,,,1.903,0.4133,11.12,17.89
20326290,,,0.8789,0.4403,3.38,21.83
20326291,7.908,,1.247,0.0622,39.33,19.01
20326302,,,1.387,0.3447,12.03,20.58
20326332,,,1.304,0.1972,46.85,18.20
20326354,,,1.14,0.1748,5.76,22.80
20326386,,,1.089,0.4215,29.24,18.58
20326388,,1.142,1.274,0.4962,17.96,18.39
20326683,6.262,0.518,1.45,0.2160,19.15,18.54
20326732,3.463,,2.711,0.5708,6.62,17.67
20326742,0.6108,,1.735,0.3684,28.02,18.15
20326777,28.01,,1.746,0.3897,19.41,17.77
20326946,,,1.866,0.3800,40.12,18.50
20327140,,,1.744,0.3739,21.83,19.89
20328059,,,1.439,0.1664,14.20,19.65
20329275,,,1.379,0.3046,12.82,20.08
20329291,,,1.786,0.3454,10.64,19.21
20329338,12,,1.698,0.4884,9.59,19.28
20329340,9.5602,,1.232,0.0346,12.55,19.33
20329343,,,1.708,0.2688,23.50,20.14
20329390,,,2.002,0.4798,27.94,19.35
20329395,,,2.255,0.6483,34.74,17.77
20329437,2.6214,,0.9355,0.2431,6.89,19.41
20329520,,,1.402,0.2365,16.78,19.87
20329571,,,1.461,0.2787,27.32,18.99
20329614,3.278,,2.689,0.6774,5.40,17.79
20329669,,,2.718,0.5361,3.89,16.71
20329713,,,2.151,0.4361,7.67,18.89
20329770,52.1,,1.356,0.6284,29.58,17.97
20329774,,,2.648,0.8370,40.41,16.73
20329915,,1.012,0.9854,0.7929,41.36,17.14
20330233,,,1.543,0.3740,37.08,18.82
20330659,,,1.587,0.2776,13.02,22.99
20330809,,,1.542,0.5057,6.91,19.30
20330825,4.409,,2.609,0.5506,7.47,16.40
20331471,45.5,,2.501,0.8933,14.28,15.57
20331509,,,1.677,0.3393,38.24,18.32
20331510,,,2.72,0.5519,11.89,17.65
20331769,,,1.425,0.2453,8.48,19.92
20331792,,1.275,2.685,0.5333,27.91,16.03
20331876,,,1.285,0.5363,13.31,20.56
20331963,,,1.953,0.4167,31.47,17.64
20331990,,,1.461,0.3938,11.33,19.76
20331999,,,1.74,0.2860,13.39,19.29
20332408,,,1.401,0.5684,38.20,17.82
20332446,3.0472,,1.38,0.4100,8.93,19.69
20332775,,0.467,1.547,0.4618,6.06,19.70
20333284,6.2013,,1.675,0.3596,34.48,18.09
20333358,3.21,,1.502,0.3031,14.07,19.63
20333478,,,0.8753,0.4649,21.33,18.05
20333480,,,1.12,0.4073,14.11,20.32
20333510,,,1.759,0.6076,20.74,18.83
20333521,,,1.252,0.3732,12.51,20.08
20333555,,,1.985,0.4390,25.40,17.40
20333578,5.737,0.204,1.573,0.3767,11.68,20.20
20333707,,,1.27,0.2755,16.14,19.41
20333755,,,1.156,0.5587,20.96,19.32
20333888,5.316,,2.836,0.5909,9.15,16.82
20333889,2.817,0.919,0.8165,0.6420,53.30,18.25
20333908,,,1.887,0.3909,37.28,17.84
20334412,34.077,,1.249,0.0459,13.03,20.32
20334673,2.484,0.570,1.684,0.4171,15.73,18.00
20335746,,,1.641,0.2690,29.04,18.35
20335758,,,1.651,0.2676,3.58,19.68
20337053,,,1.725,0.4546,30.58,19.03
20337069,7.487,,2.259,0.4288,5.21,18.69
20337075,,,1.983,0.5901,9.65,19.82
20337084,11.855,,1.341,0.0992,11.68,19.82
20337118,,,1.281,0.4637,61.38,18.36
20337119,,0.521,1.683,0.3929,24.50,18.61
20337248,25.2,0.846,0.8259,0.5514,19.65,20.11
20337252,,,1.129,0.3138,6.55,20.82
20337345,,,1.22,0.1214,14.19,20.66
20337557,,,1.691,0.2339,43.34,18.64
20337558,,,1.961,0.5830,4.82,19.33
20337866,8.955,,1.986,0.4755,6.95,18.80
20338049,,,2.212,0.5459,40.93,17.35
20338172,,,2.219,0.4905,16.50,17.46
20338176,9.98,,2.956,0.5651,27.98,16.84
20338292,2.5564,,0.7987,0.4872,30.71,19.11
20338347,,1.420,2.268,0.4779,20.98,18.31
20338567,,,1.738,0.2836,36.68,19.49
20339492,,,1.426,0.2153,47.03,18.37
20339714,8.68,,1.451,0.3709,20.23,20.36
20339715,,,1.46,0.7517,14.58,18.97
20340048,,,1.45,0.2610,19.54,19.10
20340291,,,1.146,0.3819,20.20,19.91
20340666,,,0.9064,0.2313,23.85,17.82
20341050,,,1.329,0.1426,7.42,20.42
20341816,,,1.87,0.3217,31.84,17.55
20341843,3.725,0.40,0.9583,0.0835,7.44,20.07
20342866,,,1.537,0.5955,3.41,20.24
20343098,9.658,,1.615,0.2751,19.93,18.66
20343158,,,2.527,0.8065,154.36,16.27
20343166,,0.670,2.004,0.6638,29.49,17.46
20344074,,,0.83,0.4748,25.49,19.01
20344076,,,1.986,0.7462,6.56,18.95
20344133,,,2.213,0.4233,30.05,18.66
20344143,,,2.466,0.4848,7.76,18.38
20344756,,,1.315,0.1006,7.12,20.81
20345646,3.05,0.413,1.562,0.3452,17.28,19.74
20345705,3.204,0.406,0.767,0.4211,31.02,18.59
20345722,,0.653,0.8326,0.3346,18.51,18.27
20345813,,1.377,1.317,0.3319,56.56,17.80
20345853,56.8,,2.829,0.5507,13.78,16.31
20347634,,,1.122,0.5542,24.47,19.65
20347813,5.915,,1.248,0.1652,19.12,17.74
20348304,,,1.935,0.3348,39.83,18.01
20348306,,,0.8728,0.5701,5.88,21.55
20348314,,,1.19,0.2781,30.12,17.90
20348400,2.4149,,2.225,0.5356,10.85,17.35
20348461,,,2.271,0.8555,47.99,17.09
20348595,,,1.449,0.1516,29.13,18.99
20348776,,,1.285,0.2088,21.37,19.26
20349063,2.436,,2.197,0.5474,10.32,17.45
20349068,2.433,0.496,1.323,0.4258,38.24,18.34
20349074,,1.081,1.342,0.7206,27.63,18.43
20349219,,0.583,1.734,0.4937,32.21,18.14
20349507,,,1.167,0.5815,13.58,18.55
20349925,,0.920,2.171,0.6977,12.02,17.38
20349928,,,1.934,0.7764,10.98,18.47
20350462,13.335,,1.159,0.1173,5.51,22.09
20350513,,1.77,2.663,0.5606,12.55,18.05
20350523,,,1.117,0.2026,3.56,21.16
20350536,,,1.426,0.1638,25.20,20.02
20350713,,,1.347,0.1946,6.75,20.75
20350751,4.647,,1.072,0.2564,0.57,20.83
20350964,,,1.395,0.1713,57.26,18.80
20350988,9.58,,1.821,0.4759,49.44,16.84
20351278,,,1.183,0.4133,30.28,18.88
20351331,,,1.381,0.5033,22.63,18.96
20351340,,,1.929,0.6174,11.40,18.17
20351370,,,2.515,0.8908,17.23,17.24
20351508,,,1.734,0.2565,7.19,19.77
20351545,10.61,,1.205,0.3436,13.13,19.83
20351815,,,2.008,0.3545,23.19,18.39
20352102,,,2.09,0.6566,41.97,19.40
20352143,2.4162,,2.624,0.5170,10.18,17.22
20353190,,,1.956,0.3690,10.90,19.84
20353938,2.595,,2.768,0.5591,9.45,18.21
20353947,,,1.25,0.3941,44.50,18.79
20354030,26.755,,2.348,0.5395,4.18,18.62
20354101,,,1.486,0.3393,20.01,19.26
20354127,,,1.697,0.3944,30.25,19.30
20354182,4.4,,1.145,0.2382,8.70,20.79
20354332,,,1.819,0.3234,27.12,18.29
20354663,,,1.602,0.2396,30.01,16.30
20354713,,,2.624,0.5893,24.90,16.84
20354876,,,1.47,0.5983,12.45,18.48
20354952,8,,1.749,0.3452,4.12,19.23
20355046,,,1.242,0.2719,14.25,19.61
20355256,7.152,,3.346,0.6301,12.52,16.79
20355770,,1.199,1.482,0.2460,16.60,18.39
20356285,,,2.113,0.3962,24.00,17.36
20356394,,1.071,2.009,0.7855,10.65,17.46
20356991,,,2.104,0.5323,8.17,19.08
20357005,,,2.782,0.7020,15.20,17.99
20357022,,0.432,1.285,0.3296,34.51,19.07
20357024,4.2477,0.255,1.651,0.4003,3.73,19.47
20357028,,,1.383,0.6146,9.23,19.46
20357058,,,1.437,0.2493,10.69,20.13
20357311,,,2.896,0.5599,12.82,16.68
20357414,,,1.712,0.3535,26.93,18.41
20357439,2.6205,,1.502,0.4024,23.78,19.29
20357594,,,1.355,0.2784,27.30,19.64
20357618,,,1.203,0.3368,53.08,19.07
20357621,,,1.604,0.4649,10.74,18.81
20357622,3.925,,1.084,0.5384,3.17,20.32
20358453,,,1.123,0.4412,12.09,19.87
20358471,,,1.875,0.5972,5.78,19.18
20358744,,,1.84,0.5107,3.92,18.97
20359170,,,1.545,0.4654,11.91,19.95
20359242,,,1.572,0.7240,14.56,19.02
20359369,,,2.147,0.6980,3.39,18.52
20359592,,,1.348,0.2323,11.75,20.04
20360191,,0.4,1.54,0.4785,2.53,21.08
20360192,,,2.364,0.5698,9.04,19.16
20360433,8.452,,2.39,0.6356,9.79,17.79
20360502,,,0.9343,0.2495,13.23,20.65
20361071,4.093,,2.625,0.5859,24.38,15.56
20361123,,,1.448,0.1910,9.42,20.25
20361518,,,2.06,0.6021,6.95,17.14
20361532,,,1.6,0.3150,2.99,19.28
20361538,,0.479,1.311,0.3352,40.48,18.64
20361611,,,2.155,0.4080,8.06,18.31
20361689,,,1.816,0.5030,6.36,19.41
20361754,,,1.373,0.3568,21.88,19.14
20361861,,,2.911,0.7394,36.35,16.98
20362310,,,2.439,0.7861,12.74,18.01
20363024,,0.558,1.356,0.4292,13.99,19.44
20363027,3,0.578,0.8194,0.5299,21.06,19.64
20363067,5.12,,1.076,0.0901,15.32,19.21
20363069,,,1.649,0.3488,33.47,19.66
20363071,,,1.893,0.5500,7.09,20.24
20363075,4.0734,,2.659,0.5477,5.27,17.81
20363076,,,2.684,0.5195,10.51,17.98
20363084,14.96,,1.787,0.4279,9.28,20.21
20363116,,,1.214,0.5031,21.82,20.32
20363163,9.323,,2.037,0.4556,26.76,17.82
20363267,,,1.353,0.4036,19.76,20.01
20363298,,,1.952,0.7485,20.77,18.52
20363305,0.9067,,1.237,0.2198,3.50,21.41
20363344,,,1.169,0.1960,26.81,19.97
20363505,29.6,1.876,0.7811,0.3369,3.81,18.52
20363599,7.021,0.152,1.587,0.7237,3.13,21.04
20363617,,,1.467,0.5758,41.53,18.41
20363626,,0.633,1.824,0.3992,39.36,18.91
20363734,,,1.681,0.7784,3.31,18.89
20363790,,,1.904,0.5523,8.27,17.85
20363814,6.6,1.105,1.964,0.4826,52.58,18.04
20363831,,0.371,1.976,0.5253,6.42,19.35
20364136,,,0.6766,0.7548,10.23,20.16
20364762,,1.047,1.619,0.2260,47.93,19.38
20364877,43.6586,0.786,1.959,0.8525,9.44,17.34
20365014,,,1.048,0.6019,6.65,20.11
20365071,,0.674,1.03,0.0739,45.87,18.18
20365246,,,2.677,0.8646,35.02,15.88
20365424,,0.212,0.9893,0.1708,21.49,21.91
20365449,,0.215,0.9683,0.5405,11.22,20.28
20366470,,,1.424,0.2822,22.81,19.57
20366615,,,2.911,0.5753,34.56,16.85
20366733,5.625,,1.612,0.3427,19.42,19.06
20366746,,,1.087,0.4615,18.28,20.16
20366774,,0.859,1.814,0.4508,13.20,17.88
20366833,9.33,,2.618,0.5922,27.27,16.72
20367248,5.286,0.386,1.025,0.1398,19.88,20.21
20367390,,,1.428,0.3638,20.40,19.25
20367525,,,1.595,0.2332,18.91,17.83
20367638,,,1.664,0.2772,26.50,18.39
20367684,,0.498,1.637,0.6886,9.36,18.06
20367789,9.4357,,1.424,0.3887,3.69,21.77
20367943,8.724,,0.9102,0.0893,11.61,24.19
20368184,,0.381,0.951,0.3182,16.10,19.47
20368203,,,2.489,0.6151,12.34,20.56
20368565,,,1.245,0.6004,18.30,20.09
20368664,31.7,,1.535,0.2987,13.24,18.73
20368790,,,1.611,0.2538,25.46,19.88
20368949,,,1.477,0.2248,15.27,19.69
20369057,,,1.555,0.6150,4.27,21.32
20369264,,1.515,2.006,0.5697,52.36,16.34
20369296,,,2.079,0.9001,14.62,18.07
20369452,,,1.045,0.7426,34.21,17.92
20369454,,0.846,1.373,0.6468,32.77,19.15
20369983,,,2.074,0.3793,1.07,20.10
20369984,234,,1.044,0.2878,17.64,18.96
20369986,,,0.7315,0.6986,30.35,20.53
20370037,,,1.683,0.3192,26.25,19.43
20370061,,,1.815,0.6935,54.61,17.81
20370307,4.218,,1.98,0.4907,16.19,16.98
20370688,,,2.666,0.5622,25.04,17.38
20370702,7.526,,2.694,0.5584,23.88,17.48
20371336,,1.137,2.48,0.7848,30.78,17.38
20371660,,0.230,1.293,0.2692,7.58,21.11
20371973,,,1.652,0.2477,6.72,19.56
20373135,,1.050,1.652,0.4975,4.39,19.52
20373393,,,2.147,0.4878,5.25,19.18
20373428,3.453,,2.016,0.5462,29.13,18.64
20373503,,,1.421,0.2809,10.27,20.22
20373579,,,1.447,0.3307,18.33,19.15
20374038,2.52,,2.693,0.6347,0.83,17.20
20374158,38,,1.266,0.9268,23.85,18.72
20374188,,,2.4,0.5055,14.56,17.42
20374267,,,1.467,0.6404,3.13,18.91
20374449,,0.414,1.62,0.3065,18.28,19.40
20374851,2.425,,2.386,0.6056,23.73,16.72
20374855,,,1.099,0.4457,16.70,20.06
20375054,,,1.298,0.4165,25.60,20.81
20375103,,,1.286,0.2797,49.75,18.47
20375505,,,1.404,0.1256,17.55,20.18
20375657,,,1.225,0.3143,13.12,21.49
20376707,,,2.156,0.7786,23.53,16.98
20376729,,,2.42,0.4695,8.92,19.08
20376775,,,2.156,0.4225,7.75,18.38
20376778,,,2.771,0.6107,16.48,17.30
20376788,,,1.041,0.4960,16.33,19.55
20376848,,,0.9064,0.3929,17.61,19.61
20376864,28.13,,1.801,0.3598,4.74,20.26
20376879,,,1.21,0.1215,21.74,22.35
20376883,,,1.603,0.2110,20.95,19.45
20377097,36,,1.957,0.5566,3.94,19.69
20377732,42.89,0.986,1.931,0.6213,23.57,17.07
20377972,,,2.221,0.4223,3.05,19.38
20378124,,,1.263,0.7231,31.82,18.25
20378160,,,0.9165,0.3002,11.64,19.68
20378358,,,1.726,0.4398,16.51,19.30
20378526,,,1.574,0.1969,19.24,20.31
20378610,112,,2.138,0.4260,13.58,17.42
20378842,,,1.822,0.6172,14.46,19.78
20380128,14.39,,1.46,0.3171,3.39,20.27
20380160,137.239,,2.153,0.4370,7.33,17.78
20380188,,1.312,2.674,0.5819,9.93,18.83
20380205,,,2.222,0.4675,21.41,19.38
20380321,,,2.319,0.4903,4.77,18.25
20380359,13.44,,2.333,0.4476,19.85,17.28
20380455,,,2.254,0.7942,14.47,17.78
20380476,,,1.158,0.3992,14.26,19.44
20380524,,,1.448,0.2181,23.44,20.18
20380636,,,0.9313,0.2665,10.74,19.76
20380818,,,0.923,0.5123,14.14,20.66
20380929,49,,1.455,0.4199,24.01,19.57
20380981,4.92,,1.727,0.3953,9.66,18.77
20381181,,0.602,1.471,0.3207,14.89,19.69
20381564,,,1.832,0.3894,9.42,18.28
20381677,325.,0.472,1.851,0.4552,5.84,18.34
20381906,3.5197,0.520,1.543,0.6456,7.31,17.82
20381989,,0.783,1.348,0.4956,26.72,19.87
20382395,,,2.105,0.7639,11.61,16.43
20382406,,,1.31,0.7815,2.54,20.57
20382459,,,1.875,0.3104,16.84,19.49
20382503,61.1,,1.536,0.2331,14.04,19.22
20382625,,,2.344,0.4816,19.51,18.38
20382745,,,1.5,0.3270,2.32,20.41
20382758,,,1.38,0.3171,4.67,20.19
20382825,,,1.406,0.3934,29.95,19.32
20382875,,,1.299,0.1807,2.88,21.73
20383610,,,1.774,0.3047,56.08,18.46
20385186,2.5193,0.811,1.105,0.0755,24.10,17.65
20385252,,,1.053,0.1837,50.06,19.41
20385268,,3.2,3.212,0.6428,27.41,15.94
20385343,6.195,1.359,2.315,0.6053,29.53,16.66
20385402,,1.597,2.461,0.8846,51.29,17.17
20385423,,,1.699,0.3290,23.20,19.25
20385497,,,1.589,0.4594,11.58,18.94
20385580,8.4172,,2.672,0.5539,25.92,16.20
20385605,,,1.707,0.5728,8.86,18.95
20385843,7.8,,1.126,0.4793,6.87,20.51
20386259,,,2.084,0.5296,38.79,15.69
20386281,,,2.168,0.4708,16.27,17.89
20386298,,,1.322,0.1925,15.31,20.09
20386454,,0.367,1.222,0.9091,5.44,19.99
20386504,,,1.445,0.5549,12.57,18.70
20386720,,0.964,2.647,0.5826,25.78,17.08
20386847,,0.663,1.692,0.4623,5.83,18.07
20387505,,1.060,1.542,0.8735,2.29,18.54
20387648,,,1.933,0.4377,28.88,19.36
20387668,,,1.297,0.4333,22.89,20.51
20387717,,,1.145,0.4769,36.32,19.30
20387733,2.467,0.344,0.8929,0.2185,12.03,18.98
20387746,,0.366,1.964,0.5135,3.88,20.10
20387793,,,2.394,0.7418,23.76,16.70
20387816,3.114,,0.8854,0.2500,6.76,19.52
20387871,,,2.101,0.5997,10.39,19.14
20388185,,2.750,2.567,0.5122,27.09,17.80
20388188,5.7868,,1.365,0.7763,11.78,19.01
20388189,,0.315,0.8638,0.3365,26.54,20.55
20388468,5.41403,,1.75,0.3006,10.91,18.29
20388567,,,2.347,0.4619,5.22,18.08
20388798,,,1.307,0.7246,38.41,18.46
20388838,2.859,0.378,2.088,0.5080,8.02,19.55
20388945,39.15,,1.592,0.3914,8.70,20.45
20389694,5.24,0.451,1.545,0.4920,19.07,18.20
20390522,,,1.186,0.3526,18.39,20.23
20390536,,,2.116,0.4607,7.10,18.42
20390725,,0.293,0.8497,0.3806,18.11,19.70
20390929,,,1.308,0.2246,18.80,20.45
20391033,850.,,2.117,0.4333,3.92,19.09
20391151,,1.745,2.581,0.8829,24.16,17.23
20391211,,0.412,1.897,0.4501,12.41,18.47
20391275,,,2.204,0.4775,26.10,17.96
20391449,,,2.354,0.5037,28.68,18.70
20391451,,,1.753,0.2735,7.61,19.31
20391508,,,2.116,0.6837,11.11,19.11
20392211,13.87,,1.975,0.4232,40.85,17.54
20392476,,,1.336,0.6605,13.69,19.11
20392704,,,1.508,0.4726,10.05,19.02
20393359,,0.774,2.178,0.4829,6.00,19.44
20393569,,0.551,1.066,0.3153,8.51,20.30
20393908,,,1.727,0.5461,44.78,17.50
20394130,,1.218,2.588,0.9686,33.60,17.24
20394155,,,2.548,0.5115,4.59,20.05
20394392,,0.636,0.8373,0.8860,20.74,18.37
20394783,,,1.131,0.3360,52.01,19.80
