"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)","H(mag)"
20014402,2.261,0.6,1.715,0.4020,11.42,18.78
20014827,,0.9,2.843,0.6655,1.98,18.87
20015745,3.2486,,1.72,0.2549,14.43,17.43
20015817,11,,1.325,0.1182,13.87,18.41
20016064,178.5,4.106,2.849,0.5893,4.54,16.90
20016636,19.01,,2.31,0.4682,7.21,18.78
20016657,,,2.278,0.4606,24.95,16.69
20016816,2.449,,1.443,0.6041,25.92,16.29
20016834,9.345,1.87,1.468,0.4422,15.99,15.80
20016912,,,1.751,0.2727,24.52,17.92
20016960,2.8985,,2.2,0.8589,17.52,14.42
20017181,,,2.37,0.6739,10.65,16.60
20017182,6.61,2.885,1.387,0.5536,9.27,17.15
20017188,5.0638,1.819,2.216,0.6371,29.45,16.44
20017274,16.495,3.183,2.733,0.5537,5.57,16.87
20017511,5.9902,,1.19,0.3588,9.58,17.32
20018106,,,2.444,0.5120,4.22,17.86
20018109,4.25,,1.881,0.3679,0.81,17.20
20018172,2.37512,,2.425,0.5112,17.83,15.71
20018736,2.4753,,2.35,0.4908,2.81,15.99
20018882,2.466,,1.685,0.2321,36.81,16.03
20019356,6.714,0.91,2.509,0.5597,3.01,17.01
20019764,59.263,1.572,2.234,0.4426,1.32,16.11
20020086,,,3.183,0.6231,21.77,16.70
20020236,10.182,,2.035,0.5602,6.50,17.71
20020255,6.804,,2.151,0.4923,9.96,18.45
20020425,,,1.564,0.4769,6.99,20.51
20020429,2.718,,1.556,0.4642,6.30,17.75
20020460,2.7209,2.716,1.877,0.4119,33.93,15.25
20020790,2.792,,2.753,0.5562,8.30,16.66
20020826,5.313,3.687,2.419,0.6361,31.92,13.86
20021088,11.23,2.793,1.706,0.2386,38.46,14.33
20021277,7.7,,2.378,0.5204,20.95,16.16
20021374,3.405,,1.269,0.1205,23.98,17.47
20022099,6.334,0.524,1.104,0.2763,9.85,17.98
20022753,10.24,,1.219,0.5698,3.20,17.69
20022771,3.782,,1.576,0.5239,11.40,16.96
20023183,6.9809,1.098,1.824,0.4009,40.97,16.07
20023187,2.5325,,1.847,0.5893,51.33,16.06
20023548,,,2.29,0.5176,23.44,17.13
20023606,,0.866,1.75,0.3611,14.36,18.40
20023714,,,2.128,0.5163,8.40,16.83
20024443,4.069,,2.311,0.8223,25.75,16.42
20024445,6.811,,2.21,0.5460,23.78,14.80
20024475,,,1.975,0.4412,14.63,16.40
20024761,,,1.335,0.3058,21.92,17.44
20025143,12.132,0.33,1.324,0.2801,1.62,19.26
20025330,4.919,3.21,1.54,0.3709,14.33,16.79
20025916,4.6021,5.683,2.562,0.4981,15.74,13.68
20026166,,,3.301,0.6442,14.78,16.82
20026310,,,2.141,0.4685,5.38,19.31
20026379,,,1.606,0.5761,8.68,18.20
20026663,2.572,,1.546,0.4720,13.53,18.19
20026760,5.3,5.400,2.852,0.5576,11.02,15.51
20026817,,1.172,2.803,0.5942,3.50,19.49
20027002,,,1.744,0.4332,8.70,18.31
20027031,,,2.14,0.4249,5.36,17.97
20027346,0.068,1.802,1.875,0.3990,36.95,15.90
20029075,2.1216,2.000,1.698,0.5083,12.17,17.28
20030825,2.62428,,2.436,0.6810,8.74,14.79
20030997,,,1.56,0.6434,36.26,17.30
20031210,6.379,,2.605,0.5023,8.96,16.39
20031221,2.407,,1.723,0.2571,20.22,17.31
20031345,2.5163,,2.016,0.3914,6.50,17.61
20031346,2.7358,,2.029,0.4298,5.96,17.25
20031662,,,1.598,0.5479,18.82,19.54
20031669,5.807,,2.137,0.5777,9.54,16.15
20032906,2.6411,,2.248,0.4401,18.94,15.94
20033342,3.697,0.432,0.7188,0.4176,7.37,18.02
20034613,10.87,,2.069,0.3873,6.18,16.09
20035107,2.6236,0.929,1.137,0.1442,13.91,16.91
20035396,3.259,0.704,1.442,0.4837,4.10,17.03
20035432,,,2.501,0.5451,13.14,19.39
20035670,,,2.122,0.5964,7.14,19.57
20036017,5.79,,1.524,0.3143,5.55,19.30
20036183,5.613,2.339,1.551,0.3325,38.22,16.33
20036236,2.743,,1.332,0.4237,58.04,15.98
20036284,3.844,,1.484,0.5538,46.76,15.01
20037336,,,2.253,0.4835,36.67,15.79
20037638,3.5301,,1.913,0.5196,5.08,19.28
20037655,2.6556,,1.478,0.7524,18.03,17.85
20038071,216,,2.089,0.5077,12.74,19.57
20038086,2.4104,0.643,1.42,0.5663,23.67,17.36
20038091,,2.517,2.169,0.4013,9.33,16.30
20038239,,,2.036,0.5756,9.44,18.26
20039565,,,1.642,0.3342,8.60,18.46
20039572,,1.554,2.037,0.4920,10.02,16.56
20039796,223.5,2.131,2.251,0.4679,12.92,15.84
20040263,28,0.954,1.495,0.1611,25.85,17.79
20040267,4.9567,1.641,1.339,0.8085,34.49,15.57
20040329,47,,2.266,0.4544,2.52,17.80
20041429,,0.204,1.593,0.5553,2.17,20.66
20041440,,,1.575,0.2114,15.11,19.88
20042286,77.9,,1.42,0.3917,24.07,16.67
20048603,,0.844,1.918,0.4299,5.03,17.82
20052340,,,2.212,0.5473,8.08,18.10
20052381,4.1103,,1.278,0.1440,7.73,20.07
20052387,26,0.890,1.282,0.1896,24.15,17.77
20052689,,,1.562,0.2924,10.98,19.17
20052750,26.43,1.059,1.427,0.5248,11.17,16.56
20052760,14.28,1.0,2.409,0.6235,2.43,17.51
20052761,,,1.555,0.2242,19.48,17.99
20052762,12.08,6.742,2.417,0.6527,33.85,14.92
20052768,4.112,1.75,2.38,0.5754,5.88,16.04
20053110,2.7375,,1.644,0.2146,40.62,16.73
20053319,143.7,7.,2.723,0.6416,13.84,15.36
20053409,,,2.101,0.6283,10.88,18.73
20053426,5.03,,1.923,0.5382,22.77,17.24
20053429,,,2.023,0.6399,26.79,18.94
20053430,9.5819,1.233,2.099,0.4035,60.41,16.69
20053435,5.189,,2.311,0.4832,15.35,14.74
20053550,,,1.495,0.4196,7.17,19.16
20053789,43,0.843,1.371,0.2693,40.79,17.41
20054071,51,,1.329,0.1975,23.44,17.45
20054401,19.03,1.189,1.711,0.2623,18.95,17.23
20054509,0.2029,,1.006,0.2300,1.60,22.66
20054660,5.44,,1.477,0.2807,46.69,17.94
20054686,9.958,1.349,1.777,0.3417,33.21,16.63
20054690,,,1.63,0.2565,35.36,17.52
20054789,37.57,1.567,1.776,0.2875,24.47,15.13
20055408,,0.461,1.1,0.2246,30.39,18.82
20055532,46.08,1.306,1.794,0.6957,38.54,16.14
20065674,,,1.665,0.3440,10.95,18.28
20065679,7.746,0.918,0.9147,0.2646,1.30,19.62
20065690,7.1125,,1.428,0.3633,11.14,19.06
20065706,3.4844,,2.397,0.5559,9.64,16.57
20065717,20.33,,1.395,0.2809,2.81,20.71
20065733,4.185,,1.154,0.4743,4.15,18.43
20065803,2.2593,0.78,1.643,0.3833,3.41,18.12
20065909,3,,1.091,0.5398,3.56,19.30
20065996,3.399,,2.937,0.6043,9.55,18.55
20066008,7.09,1.484,1.426,0.3627,61.01,15.99
20066063,2.4924,,0.991,0.7200,22.69,18.15
20066146,2.375,2.864,0.7876,0.4838,5.41,14.43
20066251,2.4629,1.222,1.536,0.1981,11.28,17.04
20066253,,,1.334,0.8378,19.50,18.41
20066272,502.,0.808,1.508,0.1433,51.31,17.22
20066391,2.7645,1.317,0.6424,0.6884,38.88,16.64
20066400,,0.411,0.8554,0.5725,9.06,19.29
20066407,,,1.198,0.1201,21.77,19.02
20066959,,,2.539,0.5657,20.62,16.94
20067367,,,1.308,0.2127,9.02,17.13
20067381,,,1.32,0.5432,10.67,19.81
20067399,,,1.301,0.3462,14.69,18.40
20068031,2.55,,1.377,0.1286,15.17,18.14
20068063,3.1592,2.301,2.334,0.4579,5.72,15.50
20068216,2.429,0.994,1.32,0.3266,17.99,16.63
20068267,3.5,0.875,1.51,0.4273,38.83,17.05
20068278,3.4523,0.942,1.436,0.1145,2.62,18.50
20068346,4.987,0.736,1.508,0.4166,16.70,16.93
20068347,6.354,,0.9621,0.3801,17.12,19.92
20068348,3.3313,3.512,2.155,0.8409,25.36,14.25
20068350,3.21082,1.794,1.669,0.2475,29.57,16.05
20068359,18.07,,1.517,0.1742,9.86,17.98
20068372,,,1.618,0.4160,8.11,18.97
20068548,,1.182,1.707,0.4365,22.71,16.71
20068950,45.24,1.650,1.057,0.3443,25.15,16.39
20069230,13.894,,1.655,0.6237,6.07,17.53
20085182,,1.1,2.221,0.7773,3.12,17.14
20085184,24.19,,1.374,0.1846,33.88,18.41
20085236,5.057,,1.234,0.3111,12.81,18.75
20085275,2.6967,2.506,1.891,0.4422,17.72,16.40
20085490,9.0583,,3.763,0.6608,2.57,14.82
20085585,11.6,,1.298,0.3562,4.08,21.64
20085628,2.8228,0.775,1.592,0.3316,13.03,17.24
20085640,,,1.58,0.4858,4.51,21.14
20085709,3.573,2.230,1.646,0.3379,24.84,15.95
20085713,5.37,3.484,1.924,0.6386,10.78,15.83
20085770,,,0.998,0.3452,33.18,20.71
20085774,55.,0.939,1.403,0.3289,13.59,19.17
20085804,2.6761,2.272,1.721,0.3542,27.66,15.40
20085818,19.451,2.028,1.657,0.4164,62.72,15.48
20085839,2.45,1.140,1.654,0.2483,9.32,16.61
20085867,700.,,1.831,0.3019,0.94,18.30
20085938,2.5141,,1.854,0.4839,9.14,18.72
20085953,28.08,0.59,0.7387,0.7031,12.61,18.15
20085989,7.6638,1.462,0.8831,0.6328,17.06,17.12
20085990,6.538,0.451,1.008,0.3112,5.36,20.27
20086039,122.2,2.22,1.76,0.5788,7.13,15.97
20086067,9.196,1.245,1.817,0.3234,30.54,16.46
20086324,7.161,2.102,1.967,0.4345,34.60,15.74
20086326,6.36,1.348,1.845,0.3627,34.31,17.42
20086450,6.6064,,0.968,0.4148,18.11,18.40
